norad_id,name
00694U,ATLAS CENTAUR 2
00733U,THOR AGENA D R/B
00877U,SL-3 R/B
02802U,SL-8 R/B
03230U,SL-8 R/B
03597U,OAO 2
03669U,ISIS 1
04327U,SERT 2
05118U,SL-3 R/B
05560U,ASTEX 1
05730U,SL-8 R/B
06153U,OAO 3 (COPERNICUS)
06155U,ATLAS CENTAUR R/B
08459U,SL-8 R/B
10114U,SL-3 R/B
10967U,SEASAT 1
11267U,SL-14 R/B
11574U,SL-8 R/B
11672U,SL-14 R/B
12139U,SL-8 R/B
12465U,SL-3 R/B
12585U,METEOR PRIRODA
12904U,SL-3 R/B
13068U,SL-3 R/B
13154U,SL-3 R/B
13403U,SL-3 R/B
13553U,SL-14 R/B
13819U,SL-3 R/B
14032U,COSMOS 1455
14208U,SL-3 R/B
14699U,COSMOS 1536
14820U,SL-14 R/B
15483U,SL-8 R/B
15772U,SL-12 R/B(2)
15945U,SL-14 R/B
16182U,SL-16 R/B
16496U,SL-14 R/B
16719U,COSMOS 1743
16792U,SL-14 R/B
16882U,SL-14 R/B
16908U,AJISAI (EGS)
17295U,COSMOS 1812
17567U,SL-14 R/B
17589U,COSMOS 1833
17590U,SL-16 R/B
17912U,SL-14 R/B
17973U,COSMOS 1844
18153U,SL-14 R/B
18187U,COSMOS 1867
18421U,COSMOS 1892
18749U,SL-14 R/B
18958U,COSMOS 1933
19046U,SL-3 R/B
19120U,SL-16 R/B
19210U,COSMOS 1953
19257U,SL-8 R/B
19573U,COSMOS 1975
19574U,SL-14 R/B
19650U,SL-16 R/B
20261U,INTERCOSMOS 24
20262U,SL-14 R/B
20323U,DELTA 1 R/B
20443U,ARIANE 40 R/B
20453U,DELTA 2 R/B(1)
20465U,COSMOS 2058
20466U,SL-14 R/B
20511U,SL-14 R/B
20580U,HST
20625U,SL-16 R/B
20663U,COSMOS 2084
20666U,SL-6 R/B(2)
20775U,SL-8 R/B
21088U,SL-8 R/B
21397U,OKEAN-3
21422U,COSMOS 2151
21423U,SL-14 R/B
21574U,ERS-1
21610U,ARIANE 40 R/B
21819U,INTERCOSMOS 25
21876U,SL-8 R/B
21938U,SL-8 R/B
21949U,USA 81
22219U,COSMOS 2219
22220U,SL-16 R/B
22236U,COSMOS 2221
22285U,SL-16 R/B
22286U,COSMOS 2228
22566U,SL-16 R/B
22626U,COSMOS 2242
22803U,SL-16 R/B
22830U,ARIANE 40 R/B
23087U,COSMOS 2278
23088U,SL-16 R/B
23343U,SL-16 R/B
23405U,SL-16 R/B
23561U,ARIANE 40+ R/B
23705U,SL-16 R/B
24298U,SL-16 R/B
24883U,ORBVIEW 2 (SEASTAR)
25400U,SL-16 R/B
25407U,SL-16 R/B
25544U,ISS (ZARYA)
25732U,CZ-4B R/B
25860U,OKEAN-O
25861U,SL-16 R/B
25876U,DELTA 2 R/B
25977U,HELIOS 1B
25994U,TERRA
26070U,SL-16 R/B
26474U,TITAN 4B R/B
27386U,ENVISAT
27422U,IDEFIX & ARIANE 42P R/B
27424U,AQUA
27432U,CZ-4B R/B
27597U,MIDORI II (ADEOS-II)
27601U,H-2A R/B
28059U,CZ-4B R/B
28222U,CZ-2C R/B
28353U,SL-16 R/B
28415U,CZ-4B R/B
28480U,CZ-2C R/B
28499U,ARIANE 5 R/B
28738U,CZ-2D R/B
28931U,ALOS (DAICHI)
28932U,H-2A R/B
29228U,RESURS-DK 1
29252U,GENESIS 1
29507U,CZ-4B R/B
31114U,CZ-2C R/B
31598U,COSMO-SKYMED 1
31789U,GENESIS 2
31792U,COSMOS 2428
31793U,SL-16 R/B
33504U,KORONAS-FOTON
37731U,CZ-2C R/B
38341U,H-2A R/B
39358U,SHIJIAN-16 (SJ-16)
39679U,SL-4 R/B
39766U,ALOS-2
41038U,YAOGAN-29
41337U,ASTRO-H (HITOMI)
42758U,HXMT (HUIYAN)
43521U,CZ-2C R/B
43641U,SAOCOM 1A
43682U,H-2A R/B
46265U,SAOCOM 1B
48274U,CSS (TIANHE)
48865U,COSMOS 2550
52794U,CZ-2C R/B
54149U,GSLV R/B
57800U,XRISM
59588U,ACS3
